Time Stamp,Register,Value
04/25/2016 11:43:05.046 ,1,0
04/25/2016 11:43:05.046 ,2,1
04/25/2016 11:43:05.046 ,3,0
04/25/2016 11:43:05.046 ,4,9985
04/25/2016 11:43:05.062 ,5,2000
04/25/2016 11:43:05.062 ,6,1500
04/25/2016 11:43:05.062 ,7,9000
04/25/2016 11:43:05.077 ,8,0
04/25/2016 11:43:05.077 ,9,0
04/25/2016 11:43:05.077 ,10,0
04/25/2016 11:43:05.155 ,1,0
04/25/2016 11:43:05.155 ,2,1
04/25/2016 11:43:05.171 ,3,0
04/25/2016 11:43:05.171 ,4,9985
04/25/2016 11:43:05.171 ,5,2000
04/25/2016 11:43:05.171 ,6,1500
04/25/2016 11:43:05.187 ,7,9000
04/25/2016 11:43:05.187 ,8,0
04/25/2016 11:43:05.187 ,9,0
04/25/2016 11:43:05.202 ,10,0
04/25/2016 11:43:05.265 ,1,0
04/25/2016 11:43:05.265 ,2,1
04/25/2016 11:43:05.265 ,3,0
04/25/2016 11:43:05.280 ,4,9985
04/25/2016 11:43:05.280 ,5,2000
04/25/2016 11:43:05.280 ,6,1500
04/25/2016 11:43:05.296 ,7,9000
04/25/2016 11:43:05.296 ,8,0
04/25/2016 11:43:05.296 ,9,0
04/25/2016 11:43:05.312 ,10,0
04/25/2016 11:43:05.374 ,1,0
04/25/2016 11:43:05.374 ,2,1
04/25/2016 11:43:05.390 ,3,0
04/25/2016 11:43:05.390 ,4,9984
04/25/2016 11:43:05.390 ,5,2000
04/25/2016 11:43:05.390 ,6,1500
04/25/2016 11:43:05.405 ,7,9000
04/25/2016 11:43:05.405 ,8,0
04/25/2016 11:43:05.405 ,9,0
04/25/2016 11:43:05.421 ,10,0
04/25/2016 11:43:05.483 ,1,0
04/25/2016 11:43:05.483 ,2,1
04/25/2016 11:43:05.499 ,3,0
04/25/2016 11:43:05.499 ,4,9985
04/25/2016 11:43:05.499 ,5,2000
04/25/2016 11:43:05.499 ,6,1500
04/25/2016 11:43:05.515 ,7,9000
04/25/2016 11:43:05.515 ,8,0
04/25/2016 11:43:05.515 ,9,0
04/25/2016 11:43:05.530 ,10,0
04/25/2016 11:43:05.593 ,1,0
04/25/2016 11:43:05.593 ,2,1
04/25/2016 11:43:05.608 ,3,0
04/25/2016 11:43:05.608 ,4,9985
04/25/2016 11:43:05.608 ,5,2000
04/25/2016 11:43:05.608 ,6,1500
04/25/2016 11:43:05.624 ,7,9000
