Time Stamp,Register,Value
02/08/2017 10:55:22.596 ,1,0
02/08/2017 10:55:22.596 ,2,3
02/08/2017 10:55:22.596 ,3,0
02/08/2017 10:55:22.612 ,4,9974
02/08/2017 10:55:22.612 ,5,8000
02/08/2017 10:55:22.612 ,6,2000
02/08/2017 10:55:22.612 ,7,9000
02/08/2017 10:55:22.627 ,8,0
02/08/2017 10:55:22.627 ,9,0
02/08/2017 10:55:22.627 ,10,0
02/08/2017 10:55:22.690 ,1,0
02/08/2017 10:55:22.690 ,2,3
02/08/2017 10:55:22.690 ,3,0
02/08/2017 10:55:22.705 ,4,9973
02/08/2017 10:55:22.705 ,5,8000
02/08/2017 10:55:22.705 ,6,2000
02/08/2017 10:55:22.721 ,7,9000
02/08/2017 10:55:22.721 ,8,0
02/08/2017 10:55:22.721 ,9,0
02/08/2017 10:55:22.737 ,10,0
02/08/2017 10:55:22.799 ,1,0
02/08/2017 10:55:22.799 ,2,3
02/08/2017 10:55:22.815 ,3,0
02/08/2017 10:55:22.815 ,4,9975
02/08/2017 10:55:22.815 ,5,8000
02/08/2017 10:55:22.830 ,6,2000
02/08/2017 10:55:22.830 ,7,9000
02/08/2017 10:55:22.830 ,8,0
02/08/2017 10:55:22.830 ,9,0
02/08/2017 10:55:22.846 ,10,0
02/08/2017 10:55:22.908 ,1,0
02/08/2017 10:55:22.908 ,2,3
02/08/2017 10:55:22.924 ,3,0
02/08/2017 10:55:22.924 ,4,9974
02/08/2017 10:55:22.924 ,5,8000
02/08/2017 10:55:22.940 ,6,2000
02/08/2017 10:55:22.940 ,7,9000
02/08/2017 10:55:22.940 ,8,0
02/08/2017 10:55:22.940 ,9,0
02/08/2017 10:55:22.955 ,10,0
02/08/2017 10:55:23.018 ,1,0
02/08/2017 10:55:23.018 ,2,3
02/08/2017 10:55:23.033 ,3,0
02/08/2017 10:55:23.033 ,4,9975
02/08/2017 10:55:23.033 ,5,8000
02/08/2017 10:55:23.033 ,6,2000
02/08/2017 10:55:23.049 ,7,9000
02/08/2017 10:55:23.049 ,8,0
02/08/2017 10:55:23.049 ,9,0
02/08/2017 10:55:23.065 ,10,0
02/08/2017 10:55:23.127 ,1,0
02/08/2017 10:55:23.127 ,2,3
02/08/2017 10:55:23.127 ,3,0
02/08/2017 10:55:23.143 ,4,9974
02/08/2017 10:55:23.143 ,5,8000
02/08/2017 10:55:23.143 ,6,2000
02/08/2017 10:55:23.158 ,7,9000
02/08/2017 10:55:23.158 ,8,0
02/08/2017 10:55:23.158 ,9,0
02/08/2017 10:55:23.174 ,10,0
02/08/2017 10:55:23.237 ,1,0
02/08/2017 10:55:23.237 ,2,3
02/08/2017 10:55:23.237 ,3,0
02/08/2017 10:55:23.252 ,4,9974
