Time Stamp,Register,Value
04/20/2016 03:45:10.536 ,1,0
04/20/2016 03:45:10.552 ,2,3
04/20/2016 03:45:10.552 ,3,0
04/20/2016 03:45:10.552 ,4,7
04/20/2016 03:45:10.567 ,5,2000
04/20/2016 03:45:10.567 ,6,1500
04/20/2016 03:45:10.567 ,7,9000
04/20/2016 03:45:10.567 ,8,0
04/20/2016 03:45:10.583 ,9,0
04/20/2016 03:45:10.599 ,10,0
04/20/2016 03:45:10.646 ,1,0
04/20/2016 03:45:10.646 ,2,3
04/20/2016 03:45:10.661 ,3,0
04/20/2016 03:45:10.661 ,4,9
04/20/2016 03:45:10.661 ,5,2000
04/20/2016 03:45:10.677 ,6,1500
04/20/2016 03:45:10.677 ,7,9000
04/20/2016 03:45:10.677 ,8,0
04/20/2016 03:45:10.677 ,9,0
04/20/2016 03:45:10.693 ,10,0
04/20/2016 03:45:10.755 ,1,0
04/20/2016 03:45:10.755 ,2,3
04/20/2016 03:45:10.771 ,3,0
04/20/2016 03:45:10.771 ,4,7
04/20/2016 03:45:10.771 ,5,2000
04/20/2016 03:45:10.771 ,6,1500
04/20/2016 03:45:10.786 ,7,9000
04/20/2016 03:45:10.786 ,8,0
04/20/2016 03:45:10.786 ,9,0
04/20/2016 03:45:10.802 ,10,0
04/20/2016 03:45:10.864 ,1,0
04/20/2016 03:45:10.864 ,2,3
04/20/2016 03:45:10.864 ,3,0
04/20/2016 03:45:10.880 ,4,8
04/20/2016 03:45:10.880 ,5,2000
04/20/2016 03:45:10.880 ,6,1500
04/20/2016 03:45:10.896 ,7,9000
04/20/2016 03:45:10.896 ,8,0
04/20/2016 03:45:10.896 ,9,0
04/20/2016 03:45:10.911 ,10,0
04/20/2016 03:45:10.974 ,1,0
04/20/2016 03:45:10.974 ,2,3
04/20/2016 03:45:10.974 ,3,0
04/20/2016 03:45:10.989 ,4,8
04/20/2016 03:45:10.989 ,5,2000
04/20/2016 03:45:10.989 ,6,1500
04/20/2016 03:45:11.005 ,7,9000
04/20/2016 03:45:11.005 ,8,0
04/20/2016 03:45:11.005 ,9,0
04/20/2016 03:45:11.021 ,10,0
04/20/2016 03:45:11.083 ,1,0
04/20/2016 03:45:11.083 ,2,3
04/20/2016 03:45:11.083 ,3,0
04/20/2016 03:45:11.099 ,4,9
04/20/2016 03:45:11.099 ,5,2000
04/20/2016 03:45:11.099 ,6,1500
04/20/2016 03:45:11.114 ,7,9000
04/20/2016 03:45:11.114 ,8,0
04/20/2016 03:45:11.114 ,9,0
04/20/2016 03:45:11.130 ,10,0
04/20/2016 03:45:11.193 ,1,0
04/20/2016 03:45:11.193 ,2,3
04/20/2016 03:45:11.193 ,3,0
04/20/2016 03:45:11.208 ,4,9
04/20/2016 03:45:11.208 ,5,2000
04/20/2016 03:45:11.208 ,6,1500
04/20/2016 03:45:11.224 ,7,9000
04/20/2016 03:45:11.224 ,8,0
04/20/2016 03:45:11.224 ,9,0
04/20/2016 03:45:11.239 ,10,0
04/20/2016 03:45:11.302 ,1,0
04/20/2016 03:45:11.302 ,2,3
04/20/2016 03:45:11.318 ,3,0
04/20/2016 03:45:11.318 ,4,7
04/20/2016 03:45:11.318 ,5,2000
04/20/2016 03:45:11.333 ,6,1500
04/20/2016 03:45:11.333 ,7,9000
04/20/2016 03:45:11.333 ,8,0
04/20/2016 03:45:11.333 ,9,0
04/20/2016 03:45:11.349 ,10,0
04/20/2016 03:45:11.411 ,1,0
04/20/2016 03:45:11.411 ,2,3
04/20/2016 03:45:11.427 ,3,0
04/20/2016 03:45:11.427 ,4,8
04/20/2016 03:45:11.427 ,5,2000
