Time Stamp,Register,Value
03/08/2017 03:34:56.491 ,1,0
03/08/2017 03:34:56.507 ,2,3
03/08/2017 03:34:56.507 ,3,192
03/08/2017 03:34:56.507 ,4,9957
03/08/2017 03:34:56.507 ,5,8000
03/08/2017 03:34:56.522 ,6,2000
03/08/2017 03:34:56.522 ,7,9000
03/08/2017 03:34:56.522 ,8,0
03/08/2017 03:34:56.538 ,9,0
03/08/2017 03:34:56.538 ,10,0
03/08/2017 03:34:56.585 ,1,0
03/08/2017 03:34:56.585 ,2,3
03/08/2017 03:34:56.585 ,3,192
03/08/2017 03:34:56.600 ,4,9976
03/08/2017 03:34:56.600 ,5,8000
03/08/2017 03:34:56.600 ,6,2000
03/08/2017 03:34:56.616 ,7,9000
03/08/2017 03:34:56.616 ,8,0
03/08/2017 03:34:56.616 ,9,0
03/08/2017 03:34:56.632 ,10,0
03/08/2017 03:34:56.694 ,1,0
03/08/2017 03:34:56.694 ,2,3
03/08/2017 03:34:56.710 ,3,192
03/08/2017 03:34:56.710 ,4,9965
03/08/2017 03:34:56.710 ,5,8000
03/08/2017 03:34:56.725 ,6,2000
03/08/2017 03:34:56.725 ,7,9000
03/08/2017 03:34:56.725 ,8,0
03/08/2017 03:34:56.741 ,9,0
03/08/2017 03:34:56.741 ,10,0
03/08/2017 03:34:56.803 ,1,0
03/08/2017 03:34:56.803 ,2,3
03/08/2017 03:34:56.819 ,3,192
03/08/2017 03:34:56.819 ,4,9945
03/08/2017 03:34:56.819 ,5,8000
03/08/2017 03:34:56.835 ,6,2000
03/08/2017 03:34:56.835 ,7,9000
03/08/2017 03:34:56.835 ,8,0
03/08/2017 03:34:56.835 ,9,0
03/08/2017 03:34:56.850 ,10,0
03/08/2017 03:34:56.913 ,1,0
03/08/2017 03:34:56.913 ,2,3
03/08/2017 03:34:56.928 ,3,192
03/08/2017 03:34:56.928 ,4,9967
03/08/2017 03:34:56.928 ,5,8000
03/08/2017 03:34:56.928 ,6,2000
03/08/2017 03:34:56.944 ,7,9000
03/08/2017 03:34:56.944 ,8,0
03/08/2017 03:34:56.944 ,9,0
03/08/2017 03:34:56.960 ,10,0
03/08/2017 03:34:57.022 ,1,0
03/08/2017 03:34:57.022 ,2,3
03/08/2017 03:34:57.038 ,3,192
03/08/2017 03:34:57.038 ,4,9960
03/08/2017 03:34:57.038 ,5,8000
03/08/2017 03:34:57.038 ,6,2000
03/08/2017 03:34:57.053 ,7,9000
03/08/2017 03:34:57.053 ,8,0
03/08/2017 03:34:57.053 ,9,0
03/08/2017 03:34:57.069 ,10,0
03/08/2017 03:34:57.132 ,1,0
03/08/2017 03:34:57.132 ,2,3
03/08/2017 03:34:57.132 ,3,192
03/08/2017 03:34:57.147 ,4,9942
03/08/2017 03:34:57.147 ,5,8000
03/08/2017 03:34:57.147 ,6,2000
03/08/2017 03:34:57.163 ,7,9000
03/08/2017 03:34:57.163 ,8,0
03/08/2017 03:34:57.163 ,9,0
03/08/2017 03:34:57.178 ,10,0
03/08/2017 03:34:57.241 ,1,0
03/08/2017 03:34:57.241 ,2,3
03/08/2017 03:34:57.257 ,3,192
03/08/2017 03:34:57.257 ,4,9971
03/08/2017 03:34:57.257 ,5,8000
03/08/2017 03:34:57.273 ,6,2000
03/08/2017 03:34:57.273 ,7,9000
03/08/2017 03:34:57.273 ,8,0
03/08/2017 03:34:57.288 ,9,0
03/08/2017 03:34:57.288 ,10,0
03/08/2017 03:34:57.351 ,1,0
03/08/2017 03:34:57.351 ,2,3
03/08/2017 03:34:57.366 ,3,192
03/08/2017 03:34:57.366 ,4,9916
03/08/2017 03:34:57.366 ,5,8000
03/08/2017 03:34:57.382 ,6,2000
03/08/2017 03:34:57.382 ,7,9000
03/08/2017 03:34:57.382 ,8,0
03/08/2017 03:34:57.382 ,9,0
03/08/2017 03:34:57.398 ,10,0
03/08/2017 03:34:57.460 ,1,0
03/08/2017 03:34:57.460 ,2,3
03/08/2017 03:34:57.476 ,3,192
03/08/2017 03:34:57.476 ,4,9882
03/08/2017 03:34:57.476 ,5,8000
03/08/2017 03:34:57.491 ,6,2000
03/08/2017 03:34:57.491 ,7,9000
03/08/2017 03:34:57.491 ,8,0
03/08/2017 03:34:57.491 ,9,0
03/08/2017 03:34:57.507 ,10,0
03/08/2017 03:34:57.570 ,1,0
03/08/2017 03:34:57.570 ,2,3
03/08/2017 03:34:57.585 ,3,192
03/08/2017 03:34:57.585 ,4,9849
03/08/2017 03:34:57.585 ,5,8000
03/08/2017 03:34:57.585 ,6,2000
03/08/2017 03:34:57.601 ,7,9000
03/08/2017 03:34:57.601 ,8,0
03/08/2017 03:34:57.601 ,9,0
03/08/2017 03:34:57.616 ,10,0
03/08/2017 03:34:57.679 ,1,0
03/08/2017 03:34:57.679 ,2,3
03/08/2017 03:34:57.679 ,3,192
03/08/2017 03:34:57.694 ,4,9838
03/08/2017 03:34:57.694 ,5,8000
03/08/2017 03:34:57.694 ,6,2000
03/08/2017 03:34:57.710 ,7,9000
03/08/2017 03:34:57.710 ,8,0
03/08/2017 03:34:57.710 ,9,0
03/08/2017 03:34:57.726 ,10,0
03/08/2017 03:34:57.788 ,1,0
03/08/2017 03:34:57.788 ,2,3
03/08/2017 03:34:57.788 ,3,192
03/08/2017 03:34:57.804 ,4,9869
03/08/2017 03:34:57.804 ,5,8000
03/08/2017 03:34:57.804 ,6,2000
03/08/2017 03:34:57.820 ,7,9000
03/08/2017 03:34:57.820 ,8,0
03/08/2017 03:34:57.820 ,9,0
03/08/2017 03:34:57.835 ,10,0
03/08/2017 03:34:57.898 ,1,0
03/08/2017 03:34:57.898 ,2,3
03/08/2017 03:34:57.913 ,3,192
03/08/2017 03:34:57.913 ,4,9847
03/08/2017 03:34:57.913 ,5,8000
03/08/2017 03:34:57.929 ,6,2000
03/08/2017 03:34:57.929 ,7,9000
03/08/2017 03:34:57.929 ,8,0
03/08/2017 03:34:57.944 ,9,0
03/08/2017 03:34:57.944 ,10,0
03/08/2017 03:34:58.007 ,1,0
03/08/2017 03:34:58.007 ,2,3
03/08/2017 03:34:58.023 ,3,192
03/08/2017 03:34:58.023 ,4,9849
03/08/2017 03:34:58.038 ,5,8000
03/08/2017 03:34:58.038 ,6,2000
03/08/2017 03:34:58.038 ,7,9000
03/08/2017 03:34:58.038 ,8,0
03/08/2017 03:34:58.054 ,9,0
03/08/2017 03:34:58.054 ,10,0
03/08/2017 03:34:58.116 ,1,0
03/08/2017 03:34:58.116 ,2,3
03/08/2017 03:34:58.132 ,3,192
03/08/2017 03:34:58.132 ,4,9822
03/08/2017 03:34:58.132 ,5,8000
