Time Stamp,Register,Value
04/20/2016 04:33:13.965 ,1,0
04/20/2016 04:33:13.965 ,2,15
04/20/2016 04:33:13.981 ,3,0
04/20/2016 04:33:13.981 ,4,5355
04/20/2016 04:33:13.981 ,5,2000
04/20/2016 04:33:13.981 ,6,1500
04/20/2016 04:33:13.996 ,7,9000
04/20/2016 04:33:13.996 ,8,0
04/20/2016 04:33:13.996 ,9,0
04/20/2016 04:33:14.012 ,10,0
04/20/2016 04:33:14.074 ,1,0
04/20/2016 04:33:14.074 ,2,15
04/20/2016 04:33:14.090 ,3,0
04/20/2016 04:33:14.090 ,4,5365
04/20/2016 04:33:14.090 ,5,2000
04/20/2016 04:33:14.090 ,6,1500
04/20/2016 04:33:14.106 ,7,9000
04/20/2016 04:33:14.106 ,8,0
04/20/2016 04:33:14.106 ,9,0
04/20/2016 04:33:14.121 ,10,0
04/20/2016 04:33:14.184 ,1,0
04/20/2016 04:33:14.184 ,2,15
04/20/2016 04:33:14.184 ,3,0
04/20/2016 04:33:14.200 ,4,5369
04/20/2016 04:33:14.200 ,5,2000
04/20/2016 04:33:14.200 ,6,1500
04/20/2016 04:33:14.215 ,7,9000
04/20/2016 04:33:14.215 ,8,0
04/20/2016 04:33:14.215 ,9,0
04/20/2016 04:33:14.231 ,10,0
04/20/2016 04:33:14.293 ,1,0
04/20/2016 04:33:14.293 ,2,15
04/20/2016 04:33:14.293 ,3,0
04/20/2016 04:33:14.309 ,4,5365
04/20/2016 04:33:14.309 ,5,2000
04/20/2016 04:33:14.309 ,6,1500
04/20/2016 04:33:14.325 ,7,9000
04/20/2016 04:33:14.325 ,8,0
04/20/2016 04:33:14.325 ,9,0
04/20/2016 04:33:14.340 ,10,0
04/20/2016 04:33:14.403 ,1,0
04/20/2016 04:33:14.403 ,2,15
04/20/2016 04:33:14.418 ,3,0
04/20/2016 04:33:14.418 ,4,5365
04/20/2016 04:33:14.418 ,5,2000
04/20/2016 04:33:14.434 ,6,1500
04/20/2016 04:33:14.434 ,7,9000
04/20/2016 04:33:14.434 ,8,0
04/20/2016 04:33:14.434 ,9,0
04/20/2016 04:33:14.450 ,10,0
04/20/2016 04:33:14.512 ,1,0
04/20/2016 04:33:14.512 ,2,15
04/20/2016 04:33:14.528 ,3,0
04/20/2016 04:33:14.528 ,4,5365
04/20/2016 04:33:14.528 ,5,2000
04/20/2016 04:33:14.543 ,6,1500
04/20/2016 04:33:14.543 ,7,9000
04/20/2016 04:33:14.543 ,8,0
04/20/2016 04:33:14.543 ,9,0
04/20/2016 04:33:14.559 ,10,0
04/20/2016 04:33:14.621 ,1,0
04/20/2016 04:33:14.621 ,2,15
04/20/2016 04:33:14.637 ,3,0
04/20/2016 04:33:14.637 ,4,5369
04/20/2016 04:33:14.637 ,5,2000
04/20/2016 04:33:14.637 ,6,1500
04/20/2016 04:33:14.653 ,7,9000
04/20/2016 04:33:14.653 ,8,0
04/20/2016 04:33:14.653 ,9,0
04/20/2016 04:33:14.668 ,10,0
04/20/2016 04:33:14.731 ,1,0
04/20/2016 04:33:14.731 ,2,15
04/20/2016 04:33:14.731 ,3,0
04/20/2016 04:33:14.746 ,4,5375
04/20/2016 04:33:14.746 ,5,2000
04/20/2016 04:33:14.746 ,6,1500
04/20/2016 04:33:14.762 ,7,9000
04/20/2016 04:33:14.762 ,8,0
04/20/2016 04:33:14.762 ,9,0
04/20/2016 04:33:14.778 ,10,0
04/20/2016 04:33:14.840 ,1,0
04/20/2016 04:33:14.840 ,2,15
04/20/2016 04:33:14.840 ,3,0
04/20/2016 04:33:14.856 ,4,5375
04/20/2016 04:33:14.856 ,5,2000
04/20/2016 04:33:14.856 ,6,1500
04/20/2016 04:33:14.871 ,7,9000
04/20/2016 04:33:14.871 ,8,0
04/20/2016 04:33:14.871 ,9,0
04/20/2016 04:33:14.887 ,10,0
04/20/2016 04:33:14.950 ,1,0
04/20/2016 04:33:14.950 ,2,15
04/20/2016 04:33:14.950 ,3,0
04/20/2016 04:33:14.965 ,4,5377
04/20/2016 04:33:14.965 ,5,2000
04/20/2016 04:33:14.965 ,6,1500
04/20/2016 04:33:14.981 ,7,9000
04/20/2016 04:33:14.981 ,8,0
04/20/2016 04:33:14.981 ,9,0
04/20/2016 04:33:14.981 ,10,0
04/20/2016 04:33:15.059 ,1,0
04/20/2016 04:33:15.059 ,2,15
04/20/2016 04:33:15.059 ,3,0
04/20/2016 04:33:15.075 ,4,5380
04/20/2016 04:33:15.075 ,5,2000
04/20/2016 04:33:15.075 ,6,1500
04/20/2016 04:33:15.090 ,7,9000
04/20/2016 04:33:15.090 ,8,0
04/20/2016 04:33:15.090 ,9,0
04/20/2016 04:33:15.106 ,10,0
04/20/2016 04:33:15.168 ,1,0
04/20/2016 04:33:15.168 ,2,15
04/20/2016 04:33:15.184 ,3,0
04/20/2016 04:33:15.184 ,4,5376
04/20/2016 04:33:15.184 ,5,2000
04/20/2016 04:33:15.184 ,6,1500
04/20/2016 04:33:15.200 ,7,9000
04/20/2016 04:33:15.200 ,8,0
04/20/2016 04:33:15.200 ,9,0
04/20/2016 04:33:15.215 ,10,0
04/20/2016 04:33:15.278 ,1,0
04/20/2016 04:33:15.278 ,2,15
04/20/2016 04:33:15.294 ,3,0
04/20/2016 04:33:15.294 ,4,5376
04/20/2016 04:33:15.294 ,5,2000
04/20/2016 04:33:15.294 ,6,1500
04/20/2016 04:33:15.310 ,7,9000
04/20/2016 04:33:15.310 ,8,0
04/20/2016 04:33:15.310 ,9,0
04/20/2016 04:33:15.325 ,10,0
04/20/2016 04:33:15.388 ,1,0
04/20/2016 04:33:15.388 ,2,15
04/20/2016 04:33:15.388 ,3,0
04/20/2016 04:33:15.403 ,4,5388
04/20/2016 04:33:15.403 ,5,2000
04/20/2016 04:33:15.403 ,6,1500
04/20/2016 04:33:15.419 ,7,9000
04/20/2016 04:33:15.419 ,8,0
04/20/2016 04:33:15.419 ,9,0
04/20/2016 04:33:15.435 ,10,0
04/20/2016 04:33:15.497 ,1,0
04/20/2016 04:33:15.497 ,2,15
04/20/2016 04:33:15.513 ,3,0
04/20/2016 04:33:15.513 ,4,5387
04/20/2016 04:33:15.513 ,5,2000
04/20/2016 04:33:15.528 ,6,1500
04/20/2016 04:33:15.528 ,7,9000
04/20/2016 04:33:15.528 ,8,0
04/20/2016 04:33:15.544 ,9,0
04/20/2016 04:33:15.544 ,10,0
04/20/2016 04:33:15.606 ,1,0
04/20/2016 04:33:15.606 ,2,15
04/20/2016 04:33:15.622 ,3,0
04/20/2016 04:33:15.622 ,4,5375
04/20/2016 04:33:15.622 ,5,2000
04/20/2016 04:33:15.638 ,6,1500
