Time Stamp,Register,Value
02/05/2016 10:35:03.837 ,1,0
02/05/2016 10:35:03.837 ,2,0
02/05/2016 10:35:03.852 ,3,0
02/05/2016 10:35:03.852 ,4,9986
02/05/2016 10:35:03.852 ,5,7000
02/05/2016 10:35:03.868 ,6,1000
02/05/2016 10:35:03.868 ,7,9000
02/05/2016 10:35:03.868 ,8,0
02/05/2016 10:35:03.868 ,9,0
02/05/2016 10:35:03.884 ,10,0
02/05/2016 10:35:03.946 ,1,0
02/05/2016 10:35:03.946 ,2,0
02/05/2016 10:35:03.962 ,3,0
02/05/2016 10:35:03.962 ,4,9985
02/05/2016 10:35:03.962 ,5,7000
02/05/2016 10:35:03.977 ,6,1000
02/05/2016 10:35:03.977 ,7,9000
02/05/2016 10:35:03.977 ,8,0
02/05/2016 10:35:03.977 ,9,0
02/05/2016 10:35:03.993 ,10,0
02/05/2016 10:35:04.055 ,1,0
02/05/2016 10:35:04.055 ,2,0
02/05/2016 10:35:04.071 ,3,0
02/05/2016 10:35:04.071 ,4,9987
02/05/2016 10:35:04.071 ,5,7000
02/05/2016 10:35:04.071 ,6,1000
02/05/2016 10:35:04.087 ,7,9000
02/05/2016 10:35:04.087 ,8,0
02/05/2016 10:35:04.087 ,9,0
02/05/2016 10:35:04.102 ,10,0
02/05/2016 10:35:04.165 ,1,0
02/05/2016 10:35:04.165 ,2,0
02/05/2016 10:35:04.165 ,3,0
02/05/2016 10:35:04.180 ,4,9986
02/05/2016 10:35:04.180 ,5,7000
02/05/2016 10:35:04.180 ,6,1000
02/05/2016 10:35:04.196 ,7,9000
02/05/2016 10:35:04.196 ,8,0
02/05/2016 10:35:04.196 ,9,0
02/05/2016 10:35:04.212 ,10,0
02/05/2016 10:35:04.274 ,1,0
02/05/2016 10:35:04.274 ,2,0
02/05/2016 10:35:04.290 ,3,0
02/05/2016 10:35:04.290 ,4,9987
02/05/2016 10:35:04.290 ,5,7000
02/05/2016 10:35:04.290 ,6,1000
02/05/2016 10:35:04.305 ,7,9000
02/05/2016 10:35:04.305 ,8,0
02/05/2016 10:35:04.305 ,9,0
02/05/2016 10:35:04.321 ,10,0
02/05/2016 10:35:04.384 ,1,0
02/05/2016 10:35:04.384 ,2,0
02/05/2016 10:35:04.384 ,3,0
02/05/2016 10:35:04.399 ,4,9989
02/05/2016 10:35:04.399 ,5,7000
02/05/2016 10:35:04.399 ,6,1000
02/05/2016 10:35:04.415 ,7,9000
02/05/2016 10:35:04.415 ,8,0
02/05/2016 10:35:04.415 ,9,0
02/05/2016 10:35:04.430 ,10,0
02/05/2016 10:35:04.493 ,1,0
02/05/2016 10:35:04.493 ,2,0
02/05/2016 10:35:04.493 ,3,0
02/05/2016 10:35:04.509 ,4,9986
02/05/2016 10:35:04.509 ,5,7000
02/05/2016 10:35:04.509 ,6,1000
02/05/2016 10:35:04.524 ,7,9000
02/05/2016 10:35:04.524 ,8,0
02/05/2016 10:35:04.524 ,9,0
02/05/2016 10:35:04.540 ,10,0
02/05/2016 10:35:04.603 ,1,0
02/05/2016 10:35:04.603 ,2,0
02/05/2016 10:35:04.618 ,3,0
02/05/2016 10:35:04.618 ,4,9987
02/05/2016 10:35:04.618 ,5,7000
02/05/2016 10:35:04.618 ,6,1000
02/05/2016 10:35:04.634 ,7,9000
02/05/2016 10:35:04.634 ,8,0
02/05/2016 10:35:04.650 ,9,0
02/05/2016 10:35:04.650 ,10,0
02/05/2016 10:35:04.712 ,1,0
02/05/2016 10:35:04.712 ,2,0
02/05/2016 10:35:04.728 ,3,0
02/05/2016 10:35:04.728 ,4,9986
02/05/2016 10:35:04.728 ,5,7000
02/05/2016 10:35:04.728 ,6,1000
02/05/2016 10:35:04.743 ,7,9000
02/05/2016 10:35:04.743 ,8,0
02/05/2016 10:35:04.743 ,9,0
02/05/2016 10:35:04.759 ,10,0
02/05/2016 10:35:04.821 ,1,0
02/05/2016 10:35:04.821 ,2,0
02/05/2016 10:35:04.821 ,3,0
02/05/2016 10:35:04.837 ,4,9986
02/05/2016 10:35:04.837 ,5,7000
02/05/2016 10:35:04.837 ,6,1000
02/05/2016 10:35:04.853 ,7,9000
02/05/2016 10:35:04.853 ,8,0
02/05/2016 10:35:04.853 ,9,0
02/05/2016 10:35:04.868 ,10,0
02/05/2016 10:35:04.931 ,1,0
02/05/2016 10:35:04.931 ,2,0
02/05/2016 10:35:04.931 ,3,0
02/05/2016 10:35:04.946 ,4,9986
02/05/2016 10:35:04.946 ,5,7000
02/05/2016 10:35:04.946 ,6,1000
02/05/2016 10:35:04.962 ,7,9000
02/05/2016 10:35:04.962 ,8,0
02/05/2016 10:35:04.962 ,9,0
02/05/2016 10:35:04.978 ,10,0
02/05/2016 10:35:05.040 ,1,0
02/05/2016 10:35:05.040 ,2,0
02/05/2016 10:35:05.040 ,3,0
02/05/2016 10:35:05.056 ,4,9987
02/05/2016 10:35:05.056 ,5,7000
02/05/2016 10:35:05.056 ,6,1000
02/05/2016 10:35:05.071 ,7,9000
02/05/2016 10:35:05.071 ,8,0
02/05/2016 10:35:05.071 ,9,0
02/05/2016 10:35:05.087 ,10,0
02/05/2016 10:35:05.150 ,1,0
02/05/2016 10:35:05.150 ,2,0
02/05/2016 10:35:05.150 ,3,0
02/05/2016 10:35:05.165 ,4,9985
02/05/2016 10:35:05.165 ,5,7000
02/05/2016 10:35:05.165 ,6,1000
02/05/2016 10:35:05.181 ,7,9000
02/05/2016 10:35:05.181 ,8,0
