Time Stamp,Register,Value
02/08/2017 12:26:39.401 ,1,0
02/08/2017 12:26:39.417 ,2,7
02/08/2017 12:26:39.417 ,3,0
02/08/2017 12:26:39.417 ,4,9857
02/08/2017 12:26:39.433 ,5,8000
02/08/2017 12:26:39.433 ,6,2000
02/08/2017 12:26:39.433 ,7,9000
02/08/2017 12:26:39.448 ,8,0
02/08/2017 12:26:39.448 ,9,0
02/08/2017 12:26:39.448 ,10,0
02/08/2017 12:26:39.511 ,1,0
02/08/2017 12:26:39.511 ,2,7
02/08/2017 12:26:39.511 ,3,0
02/08/2017 12:26:39.526 ,4,9857
02/08/2017 12:26:39.526 ,5,8000
02/08/2017 12:26:39.526 ,6,2000
02/08/2017 12:26:39.542 ,7,9000
02/08/2017 12:26:39.542 ,8,0
02/08/2017 12:26:39.542 ,9,0
02/08/2017 12:26:39.558 ,10,0
02/08/2017 12:26:39.620 ,1,0
02/08/2017 12:26:39.620 ,2,7
02/08/2017 12:26:39.620 ,3,0
02/08/2017 12:26:39.636 ,4,9851
02/08/2017 12:26:39.636 ,5,8000
02/08/2017 12:26:39.636 ,6,2000
02/08/2017 12:26:39.651 ,7,9000
02/08/2017 12:26:39.651 ,8,0
02/08/2017 12:26:39.651 ,9,0
02/08/2017 12:26:39.667 ,10,0
02/08/2017 12:26:39.729 ,1,0
02/08/2017 12:26:39.729 ,2,7
02/08/2017 12:26:39.729 ,3,0
02/08/2017 12:26:39.745 ,4,9857
02/08/2017 12:26:39.745 ,5,8000
02/08/2017 12:26:39.745 ,6,2000
02/08/2017 12:26:39.761 ,7,9000
02/08/2017 12:26:39.761 ,8,0
02/08/2017 12:26:39.761 ,9,0
02/08/2017 12:26:39.776 ,10,0
02/08/2017 12:26:39.839 ,1,0
02/08/2017 12:26:39.839 ,2,7
02/08/2017 12:26:39.855 ,3,0
02/08/2017 12:26:39.855 ,4,9857
02/08/2017 12:26:39.855 ,5,8000
02/08/2017 12:26:39.870 ,6,2000
02/08/2017 12:26:39.870 ,7,9000
02/08/2017 12:26:39.870 ,8,0
02/08/2017 12:26:39.870 ,9,0
02/08/2017 12:26:39.886 ,10,0
02/08/2017 12:26:39.948 ,1,0
02/08/2017 12:26:39.948 ,2,7
02/08/2017 12:26:39.964 ,3,0
02/08/2017 12:26:39.964 ,4,9857
02/08/2017 12:26:39.964 ,5,8000
02/08/2017 12:26:39.980 ,6,2000
02/08/2017 12:26:39.980 ,7,9000
02/08/2017 12:26:39.980 ,8,0
02/08/2017 12:26:39.980 ,9,0
02/08/2017 12:26:39.995 ,10,0
02/08/2017 12:26:40.058 ,1,0
02/08/2017 12:26:40.058 ,2,7
02/08/2017 12:26:40.073 ,3,0
02/08/2017 12:26:40.073 ,4,9855
02/08/2017 12:26:40.073 ,5,8000
02/08/2017 12:26:40.073 ,6,2000
02/08/2017 12:26:40.089 ,7,9000
02/08/2017 12:26:40.089 ,8,0
02/08/2017 12:26:40.089 ,9,0
02/08/2017 12:26:40.105 ,10,0
02/08/2017 12:26:40.167 ,1,0
02/08/2017 12:26:40.167 ,2,7
02/08/2017 12:26:40.183 ,3,0
02/08/2017 12:26:40.183 ,4,9858
02/08/2017 12:26:40.183 ,5,8000
02/08/2017 12:26:40.183 ,6,2000
02/08/2017 12:26:40.198 ,7,9000
02/08/2017 12:26:40.198 ,8,0
02/08/2017 12:26:40.198 ,9,0
02/08/2017 12:26:40.214 ,10,0
02/08/2017 12:26:40.276 ,1,0
02/08/2017 12:26:40.276 ,2,7
02/08/2017 12:26:40.276 ,3,0
02/08/2017 12:26:40.292 ,4,9859
02/08/2017 12:26:40.292 ,5,8000
02/08/2017 12:26:40.292 ,6,2000
02/08/2017 12:26:40.308 ,7,9000
02/08/2017 12:26:40.308 ,8,0
02/08/2017 12:26:40.308 ,9,0
02/08/2017 12:26:40.323 ,10,0
02/08/2017 12:26:40.386 ,1,0
02/08/2017 12:26:40.386 ,2,7
02/08/2017 12:26:40.401 ,3,0
02/08/2017 12:26:40.401 ,4,9857
02/08/2017 12:26:40.401 ,5,8000
02/08/2017 12:26:40.417 ,6,2000
02/08/2017 12:26:40.417 ,7,9000
02/08/2017 12:26:40.417 ,8,0
02/08/2017 12:26:40.433 ,9,0
02/08/2017 12:26:40.433 ,10,0
02/08/2017 12:26:40.495 ,1,0
02/08/2017 12:26:40.495 ,2,7
02/08/2017 12:26:40.495 ,3,0
02/08/2017 12:26:40.511 ,4,9855
02/08/2017 12:26:40.511 ,5,8000
02/08/2017 12:26:40.511 ,6,2000
02/08/2017 12:26:40.526 ,7,9000
02/08/2017 12:26:40.526 ,8,0
02/08/2017 12:26:40.526 ,9,0
02/08/2017 12:26:40.542 ,10,0
02/08/2017 12:26:40.605 ,1,0
02/08/2017 12:26:40.605 ,2,7
02/08/2017 12:26:40.620 ,3,0
02/08/2017 12:26:40.620 ,4,9857
02/08/2017 12:26:40.620 ,5,8000
02/08/2017 12:26:40.620 ,6,2000
02/08/2017 12:26:40.636 ,7,9000
02/08/2017 12:26:40.636 ,8,0
02/08/2017 12:26:40.636 ,9,0
02/08/2017 12:26:40.651 ,10,0
02/08/2017 12:26:40.714 ,1,0
02/08/2017 12:26:40.714 ,2,7
02/08/2017 12:26:40.730 ,3,0
02/08/2017 12:26:40.730 ,4,9855
02/08/2017 12:26:40.730 ,5,8000
02/08/2017 12:26:40.745 ,6,2000
02/08/2017 12:26:40.745 ,7,9000
02/08/2017 12:26:40.745 ,8,0
02/08/2017 12:26:40.745 ,9,0
02/08/2017 12:26:40.764 ,10,0
02/08/2017 12:26:40.827 ,1,0
02/08/2017 12:26:40.827 ,2,7
02/08/2017 12:26:40.842 ,3,0
02/08/2017 12:26:40.842 ,4,9857
02/08/2017 12:26:40.842 ,5,8000
02/08/2017 12:26:40.858 ,6,2000
02/08/2017 12:26:40.858 ,7,9000
02/08/2017 12:26:40.858 ,8,0
02/08/2017 12:26:40.858 ,9,0
02/08/2017 12:26:40.874 ,10,0
02/08/2017 12:26:40.936 ,1,0
02/08/2017 12:26:40.936 ,2,7
02/08/2017 12:26:40.952 ,3,0
02/08/2017 12:26:40.952 ,4,9855
02/08/2017 12:26:40.952 ,5,8000
02/08/2017 12:26:40.952 ,6,2000
02/08/2017 12:26:40.967 ,7,9000
02/08/2017 12:26:40.967 ,8,0
02/08/2017 12:26:40.967 ,9,0
02/08/2017 12:26:40.983 ,10,0
02/08/2017 12:26:41.045 ,1,0
02/08/2017 12:26:41.045 ,2,7
02/08/2017 12:26:41.045 ,3,0
02/08/2017 12:26:41.061 ,4,9858
02/08/2017 12:26:41.061 ,5,8000
02/08/2017 12:26:41.061 ,6,2000
02/08/2017 12:26:41.077 ,7,9000
02/08/2017 12:26:41.077 ,8,0
02/08/2017 12:26:41.077 ,9,0
02/08/2017 12:26:41.092 ,10,0
02/08/2017 12:26:41.155 ,1,0
02/08/2017 12:26:41.155 ,2,7
02/08/2017 12:26:41.155 ,3,0
02/08/2017 12:26:41.170 ,4,9858
02/08/2017 12:26:41.170 ,5,8000
02/08/2017 12:26:41.170 ,6,2000
02/08/2017 12:26:41.186 ,7,9000
02/08/2017 12:26:41.186 ,8,0
02/08/2017 12:26:41.186 ,9,0
02/08/2017 12:26:41.202 ,10,0
02/08/2017 12:26:41.264 ,1,0
02/08/2017 12:26:41.264 ,2,7
02/08/2017 12:26:41.264 ,3,0
02/08/2017 12:26:41.280 ,4,9852
02/08/2017 12:26:41.280 ,5,8000
02/08/2017 12:26:41.280 ,6,2000
02/08/2017 12:26:41.295 ,7,9000
02/08/2017 12:26:41.295 ,8,0
02/08/2017 12:26:41.295 ,9,0
02/08/2017 12:26:41.311 ,10,0
02/08/2017 12:26:41.374 ,1,0
02/08/2017 12:26:41.374 ,2,7
02/08/2017 12:26:41.374 ,3,0
02/08/2017 12:26:41.389 ,4,9855
02/08/2017 12:26:41.389 ,5,8000
02/08/2017 12:26:41.389 ,6,2000
02/08/2017 12:26:41.405 ,7,9000
02/08/2017 12:26:41.405 ,8,0
02/08/2017 12:26:41.405 ,9,0
02/08/2017 12:26:41.420 ,10,0
02/08/2017 12:26:41.483 ,1,0
02/08/2017 12:26:41.483 ,2,7
02/08/2017 12:26:41.483 ,3,0
02/08/2017 12:26:41.499 ,4,9855
02/08/2017 12:26:41.499 ,5,8000
02/08/2017 12:26:41.499 ,6,2000
02/08/2017 12:26:41.514 ,7,9000
