Time Stamp,Register,Value
04/20/2016 04:11:48.077 ,1,0
04/20/2016 04:11:48.093 ,2,3
04/20/2016 04:11:48.093 ,3,0
04/20/2016 04:11:48.093 ,4,2707
04/20/2016 04:11:48.109 ,5,2000
04/20/2016 04:11:48.109 ,6,1500
04/20/2016 04:11:48.109 ,7,9000
04/20/2016 04:11:48.124 ,8,0
04/20/2016 04:11:48.124 ,9,0
04/20/2016 04:11:48.124 ,10,0
04/20/2016 04:11:48.187 ,1,0
04/20/2016 04:11:48.187 ,2,3
04/20/2016 04:11:48.187 ,3,0
04/20/2016 04:11:48.202 ,4,2695
04/20/2016 04:11:48.202 ,5,2000
04/20/2016 04:11:48.202 ,6,1500
04/20/2016 04:11:48.218 ,7,9000
04/20/2016 04:11:48.218 ,8,0
04/20/2016 04:11:48.218 ,9,0
04/20/2016 04:11:48.234 ,10,0
04/20/2016 04:11:48.296 ,1,0
04/20/2016 04:11:48.296 ,2,3
04/20/2016 04:11:48.296 ,3,0
04/20/2016 04:11:48.312 ,4,2702
04/20/2016 04:11:48.312 ,5,2000
04/20/2016 04:11:48.312 ,6,1500
04/20/2016 04:11:48.327 ,7,9000
04/20/2016 04:11:48.327 ,8,0
04/20/2016 04:11:48.327 ,9,0
04/20/2016 04:11:48.343 ,10,0
04/20/2016 04:11:48.406 ,1,0
04/20/2016 04:11:48.406 ,2,3
04/20/2016 04:11:48.421 ,3,0
04/20/2016 04:11:48.421 ,4,2707
04/20/2016 04:11:48.421 ,5,2000
04/20/2016 04:11:48.437 ,6,1500
04/20/2016 04:11:48.437 ,7,9000
04/20/2016 04:11:48.437 ,8,0
04/20/2016 04:11:48.437 ,9,0
04/20/2016 04:11:48.452 ,10,0
04/20/2016 04:11:48.515 ,1,0
04/20/2016 04:11:48.515 ,2,3
04/20/2016 04:11:48.531 ,3,0
04/20/2016 04:11:48.531 ,4,2700
04/20/2016 04:11:48.531 ,5,2000
04/20/2016 04:11:48.531 ,6,1500
04/20/2016 04:11:48.546 ,7,9000
04/20/2016 04:11:48.546 ,8,0
04/20/2016 04:11:48.546 ,9,0
04/20/2016 04:11:48.562 ,10,0
04/20/2016 04:11:48.624 ,1,0
04/20/2016 04:11:48.624 ,2,3
04/20/2016 04:11:48.624 ,3,0
04/20/2016 04:11:48.640 ,4,2704
04/20/2016 04:11:48.640 ,5,2000
04/20/2016 04:11:48.640 ,6,1500
04/20/2016 04:11:48.656 ,7,9000
04/20/2016 04:11:48.656 ,8,0
04/20/2016 04:11:48.656 ,9,0
04/20/2016 04:11:48.671 ,10,0
04/20/2016 04:11:48.734 ,1,0
