Time Stamp,Register,Value
02/13/2017 10:57:01.602 ,1,0
02/13/2017 10:57:01.602 ,2,3
02/13/2017 10:57:01.602 ,3,64
02/13/2017 10:57:01.617 ,4,1998
02/13/2017 10:57:01.617 ,5,8000
02/13/2017 10:57:01.617 ,6,2000
02/13/2017 10:57:01.633 ,7,9000
02/13/2017 10:57:01.633 ,8,0
02/13/2017 10:57:01.633 ,9,0
02/13/2017 10:57:01.633 ,10,0
02/13/2017 10:57:01.696 ,1,0
02/13/2017 10:57:01.696 ,2,3
02/13/2017 10:57:01.696 ,3,64
02/13/2017 10:57:01.711 ,4,1987
02/13/2017 10:57:01.711 ,5,8000
02/13/2017 10:57:01.711 ,6,2000
02/13/2017 10:57:01.727 ,7,9000
02/13/2017 10:57:01.727 ,8,0
02/13/2017 10:57:01.727 ,9,0
02/13/2017 10:57:01.742 ,10,0
02/13/2017 10:57:01.805 ,1,0
02/13/2017 10:57:01.805 ,2,3
02/13/2017 10:57:01.821 ,3,64
02/13/2017 10:57:01.821 ,4,1987
02/13/2017 10:57:01.821 ,5,8000
02/13/2017 10:57:01.836 ,6,2000
02/13/2017 10:57:01.836 ,7,9000
02/13/2017 10:57:01.836 ,8,0
02/13/2017 10:57:01.852 ,9,0
02/13/2017 10:57:01.852 ,10,0
02/13/2017 10:57:01.914 ,1,0
02/13/2017 10:57:01.914 ,2,3
02/13/2017 10:57:01.930 ,3,64
02/13/2017 10:57:01.930 ,4,2009
02/13/2017 10:57:01.930 ,5,8000
02/13/2017 10:57:01.946 ,6,2000
02/13/2017 10:57:01.946 ,7,9000
02/13/2017 10:57:01.946 ,8,0
02/13/2017 10:57:01.946 ,9,0
02/13/2017 10:57:01.961 ,10,0
02/13/2017 10:57:02.024 ,1,0
02/13/2017 10:57:02.024 ,2,3
02/13/2017 10:57:02.039 ,3,64
02/13/2017 10:57:02.039 ,4,2004
02/13/2017 10:57:02.039 ,5,8000
02/13/2017 10:57:02.039 ,6,2000
02/13/2017 10:57:02.055 ,7,9000
02/13/2017 10:57:02.055 ,8,0
02/13/2017 10:57:02.055 ,9,0
02/13/2017 10:57:02.071 ,10,0
02/13/2017 10:57:02.133 ,1,0
02/13/2017 10:57:02.133 ,2,3
02/13/2017 10:57:02.149 ,3,64
02/13/2017 10:57:02.149 ,4,1997
02/13/2017 10:57:02.149 ,5,8000
02/13/2017 10:57:02.149 ,6,2000
02/13/2017 10:57:02.164 ,7,9000
02/13/2017 10:57:02.164 ,8,0
02/13/2017 10:57:02.164 ,9,0
02/13/2017 10:57:02.180 ,10,0
02/13/2017 10:57:02.242 ,1,0
02/13/2017 10:57:02.242 ,2,3
02/13/2017 10:57:02.242 ,3,64
02/13/2017 10:57:02.258 ,4,2000
02/13/2017 10:57:02.258 ,5,8000
02/13/2017 10:57:02.258 ,6,2000
02/13/2017 10:57:02.274 ,7,9000
02/13/2017 10:57:02.274 ,8,0
02/13/2017 10:57:02.274 ,9,0
02/13/2017 10:57:02.289 ,10,0
02/13/2017 10:57:02.352 ,1,0
02/13/2017 10:57:02.352 ,2,3
02/13/2017 10:57:02.352 ,3,64
02/13/2017 10:57:02.367 ,4,1998
02/13/2017 10:57:02.367 ,5,8000
02/13/2017 10:57:02.367 ,6,2000
02/13/2017 10:57:02.383 ,7,9000
02/13/2017 10:57:02.383 ,8,0
02/13/2017 10:57:02.383 ,9,0
02/13/2017 10:57:02.399 ,10,0
02/13/2017 10:57:02.461 ,1,0
02/13/2017 10:57:02.461 ,2,3
02/13/2017 10:57:02.477 ,3,64
02/13/2017 10:57:02.477 ,4,2007
02/13/2017 10:57:02.477 ,5,8000
02/13/2017 10:57:02.492 ,6,2000
02/13/2017 10:57:02.492 ,7,9000
02/13/2017 10:57:02.492 ,8,0
02/13/2017 10:57:02.492 ,9,0
02/13/2017 10:57:02.508 ,10,0
02/13/2017 10:57:02.571 ,1,0
02/13/2017 10:57:02.571 ,2,3
02/13/2017 10:57:02.586 ,3,64
02/13/2017 10:57:02.586 ,4,2018
02/13/2017 10:57:02.586 ,5,8000
02/13/2017 10:57:02.602 ,6,2000
02/13/2017 10:57:02.602 ,7,9000
02/13/2017 10:57:02.602 ,8,0
02/13/2017 10:57:02.602 ,9,0
02/13/2017 10:57:02.617 ,10,0
02/13/2017 10:57:02.680 ,1,0
02/13/2017 10:57:02.680 ,2,3
02/13/2017 10:57:02.696 ,3,64
02/13/2017 10:57:02.696 ,4,2007
02/13/2017 10:57:02.696 ,5,8000
02/13/2017 10:57:02.696 ,6,2000
02/13/2017 10:57:02.711 ,7,9000
02/13/2017 10:57:02.711 ,8,0
02/13/2017 10:57:02.711 ,9,0
