Time Stamp,Register,Value
04/20/2016 04:26:08.737 ,1,0
04/20/2016 04:26:08.737 ,2,3
04/20/2016 04:26:08.737 ,3,0
04/20/2016 04:26:08.753 ,4,4779
04/20/2016 04:26:08.753 ,5,2000
04/20/2016 04:26:08.753 ,6,1500
04/20/2016 04:26:08.768 ,7,9000
04/20/2016 04:26:08.768 ,8,0
04/20/2016 04:26:08.768 ,9,0
04/20/2016 04:26:08.784 ,10,0
04/20/2016 04:26:08.846 ,1,0
04/20/2016 04:26:08.846 ,2,3
04/20/2016 04:26:08.846 ,3,0
04/20/2016 04:26:08.862 ,4,4782
04/20/2016 04:26:08.862 ,5,2000
04/20/2016 04:26:08.862 ,6,1500
04/20/2016 04:26:08.878 ,7,9000
04/20/2016 04:26:08.878 ,8,0
04/20/2016 04:26:08.878 ,9,0
04/20/2016 04:26:08.893 ,10,0
04/20/2016 04:26:08.956 ,1,0
04/20/2016 04:26:08.956 ,2,3
04/20/2016 04:26:08.971 ,3,0
04/20/2016 04:26:08.971 ,4,4791
04/20/2016 04:26:08.971 ,5,2000
04/20/2016 04:26:08.987 ,6,1500
04/20/2016 04:26:08.987 ,7,9000
04/20/2016 04:26:08.987 ,8,0
04/20/2016 04:26:08.987 ,9,0
04/20/2016 04:26:09.003 ,10,0
04/20/2016 04:26:09.065 ,1,0
04/20/2016 04:26:09.065 ,2,3
04/20/2016 04:26:09.081 ,3,0
04/20/2016 04:26:09.081 ,4,4788
04/20/2016 04:26:09.081 ,5,2000
04/20/2016 04:26:09.081 ,6,1500
04/20/2016 04:26:09.096 ,7,9000
04/20/2016 04:26:09.096 ,8,0
04/20/2016 04:26:09.096 ,9,0
04/20/2016 04:26:09.112 ,10,0
04/20/2016 04:26:09.175 ,1,0
04/20/2016 04:26:09.175 ,2,3
04/20/2016 04:26:09.190 ,3,0
04/20/2016 04:26:09.190 ,4,4791
04/20/2016 04:26:09.190 ,5,2000
04/20/2016 04:26:09.190 ,6,1500
04/20/2016 04:26:09.206 ,7,9000
04/20/2016 04:26:09.206 ,8,0
04/20/2016 04:26:09.206 ,9,0
04/20/2016 04:26:09.221 ,10,0
04/20/2016 04:26:09.284 ,1,0
04/20/2016 04:26:09.284 ,2,3
04/20/2016 04:26:09.300 ,3,0
04/20/2016 04:26:09.300 ,4,4790
04/20/2016 04:26:09.300 ,5,2000
04/20/2016 04:26:09.300 ,6,1500
04/20/2016 04:26:09.315 ,7,9000
04/20/2016 04:26:09.315 ,8,0
04/20/2016 04:26:09.315 ,9,0
04/20/2016 04:26:09.331 ,10,0
04/20/2016 04:26:09.393 ,1,0
04/20/2016 04:26:09.393 ,2,3
04/20/2016 04:26:09.393 ,3,0
04/20/2016 04:26:09.409 ,4,4790
04/20/2016 04:26:09.409 ,5,2000
04/20/2016 04:26:09.409 ,6,1500
